Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
1664000,-2617.8261326017955071,-2615.7713382879378514,-2623.9071710007242473
1728000,-2590.6260859572043955,-2582.0421829825759232,-2584.6301776716122731
1792000,-2463.2658547507294315,-2458.8087526181743669,-2465.1785257236147118
1856000,-2467.2707066135326386,-2463.4530975443772149,-2466.2821156077129672
1920000,-2326.4718500068102003,-2333.8962208605526030,-2335.8125726550783838
1984000,-2337.1828316484929928,-2341.5944973736645807,-2335.5579778333344620
2048000,-2335.4409128352640437,-2333.5252797081357130,-2339.4084874776781362
2112000,-2186.0374002405856118,-2188.4667557667971778,-2188.2203692532539208
2176000,-2384.9126484048128987,-2382.6198774893305199,-2389.6905367679623851
2240000,-2553.6669103617796281,-2561.8732681775245510,-2560.3391504647224792
2304000,-2621.9582979254914790,-2614.1286449752683438,-2615.2472096310052621
2368000,-2412.6529068766053570,-2407.7653541248241709,-2408.9704766753175136
2432000,-2204.4813622741166910,-2212.1739822071426715,-2204.3842352470696824
2496000,-2119.5627411660802863,-2118.7155571452854019,-2125.0342890492306651
2560000,-2258.5058428277502571,-2258.9540758203311270,-2257.6609714271867233
2624000,-2176.5034151807290073,-2179.9061953907489624,-2185.2703702433855142
2688000,-1900.9747408310356604,-1892.5389682608308703,-1892.9780799133893652
2752000,-1710.4872107664436953,-1710.3266359329588795,-1708.9300128601857978
2816000,-1723.2285629729847187,-1730.3697537358198133,-1723.8630600595129181
2880000,-1670.2798800959687924,-1668.4718562856508015,-1670.3879147826735334
2944000,-1603.1770900025107949,-1611.6512761323303948,-1605.4595466255036627
3008000,-1505.3818995337553588,-1509.6551112726535848,-1512.2599404852669522
3072000,-1395.9290275212140386,-1393.7830210943432121,-1394.4076832367352381
3136000,-1288.9845323722361172,-1288.2369898426886721,-1287.9856691118739036
3200000,-1278.4306470147964774,-1276.2753026931259228,-1276.6261427659098899
3264000,-1157.8281252084218522,-1162.1499585171134186,-1156.6152746571046919
3328000,-1034.9980119197898603,-1036.6447688364974056,-1035.9236176998419978
3392000,-816.5265346235502193,-816.2970634519474515,-810.8853796113406815
3456000,-681.6387526184880699,-680.8320233146877172,-674.1547789464543712
3520000,-639.8320442059288098,-641.9347103998248940,-644.8086980091180749
3584000,-566.5352576621532990,-569.8233234939185650,-565.4524630504314473
3648000,-512.1627244642811547,-514.3133982461840787,-515.1051623486395101
3712000,-441.3330170077578600,-437.8364709918322433,-436.3426661510604276
3776000,-405.1679730818050302,-404.8794858788918418,-400.5513295384447474
3840000,-329.0939481098715191,-329.3685175133344956,-324.1558415685969408
3904000,-302.9215771731867903,-301.5924505612777011,-296.3946188485019775
3968000,-364.2466982564206432,-360.6874298677298043,-363.7037792719979166
4032000,-332.8212762565067351,-327.2130552975856972,-325.4244287332165868
4096000,-240.8307766007674786,-248.8306213050864812,-241.5148060252750781
4160000,-257.6978377735007939,-257.7530142208447614,-249.1609588997427522
4224000,-239.5717342159578322,-238.8525284899771179,-237.9007133144176578
4288000,-205.5091205328633635,-204.7648248343037665,-197.7583391758385005
4352000,-159.5343606635509559,-167.7815860618803754,-163.2266837924288438
4416000,-133.5959065928232121,-133.6861410814977091,-135.9084562943680226
4480000,-137.0055661128164104,-136.0008307018480309,-141.8327880963995256
4544000,-199.9077386855992700,-192.1937484495816761,-193.1959196006177137
4608000,-305.6859958794510135,-311.5566680531332509,-306.0718615887704459
4672000,-382.2064619880614487,-381.5498107898990838,-388.1833479008002428
4736000,-381.8715803670078799,-379.5918755758415273,-385.3057982486290030
4800000,-404.7172672281266728,-398.0235924598275687,-403.8193860481063098
4864000,-331.6456559849407313,-331.7131733462437637,-328.2586583728681262
4928000,-353.5237432466069549,-362.2278053183565021,-361.7353193873793202
4992000,-345.4005035300560280,-349.0899206922923668,-341.9398567135850158
5056000,-329.5619443020003700,-327.3871673695056188,-336.0361708139424763
5120000,-271.2192922895866900,-271.7395739422107681,-274.5852177639453657
5184000,-306.8091912788991635,-315.6968690332204801,-309.6519745893386926
5248000,-316.2870327724182289,-316.8651738611951032,-315.7535223097368657
5312000,-328.0460686323016830,-319.7575746017562892,-321.1673359900025275
5376000,-422.5987413479023189,-420.4595683360233807,-421.3101999249468008
5440000,-382.8397086729476655,-385.2600863458686717,-383.4910164872322298
5504000,-334.8883089422650983,-341.1286865056976580,-332.9925829913726147
5568000,-350.2428867043733476,-356.8244042411583905,-350.0400433099641759
5632000,-287.1242281788712489,-293.4224443657192865,-294.0798892190580318
5696000,-238.8617687632089712,-245.9613004779996004,-240.8301910516749444
5760000,-272.0715867795330496,-274.7446388080047086,-269.1358876504874615
5824000,-239.3858485646233589,-241.8650974463812133,-240.1319394667368670
5888000,-207.0035436703649907,-199.8704382833138311,-209.2634666450525174
5952000,-160.9501023580594961,-160.1947034755545474,-158.4586302390149513
6016000,-217.6153715487290583,-208.3262098056510467,-215.2433256220785154
6080000,-210.8670564520950563,-218.0756535179259004,-210.1976654439428387
6144000,-165.5542917577277535,-166.0867756050796800,-168.8320644904716232
6208000,-191.7022499565193812,-200.0819659335246286,-193.9644332857145059
6272000,-186.4942926679081268,-186.7300311165726328,-193.0839582248445652
6336000,-169.6526184157659429,-170.8904479229790070,-176.1786796216206028
6400000,-143.7347387985757905,-135.8054180910929745,-144.1908263463921855
6464000,-145.6395900002080168,-144.5091302936085356,-140.7094032855044645
6528000,-138.8521886701282710,-138.7256790311275267,-131.4947875672431508
6592000,-113.2303702524078943,-108.1634024137930936,-115.3407964981232396
6656000,-118.1537321457738301,-113.0257852184787026,-111.7044350116008502
6720000,-109.2465968676581554,-109.8698542643527674,-100.5473897883618548
6784000,-62.0143644091081683,-61.6207148881917632,-62.7834497901524173
6848000,-89.1625875216255253,-84.1192716009253729,-89.6851160686176883
6912000,-123.3699635939441777,-124.1120920922430173,-124.3094928279903826
6976000,-134.5869801666916032,-129.6684698205096709,-129.6202372721878078
7040000,-129.1361131458731677,-122.8548925119906983,-122.8430727148968913
7104000,-152.9591349527089790,-152.7295599626901321,-151.1665881358972285
7168000,-155.0657744061884387,-147.5779256257842462,-150.4671333206936197
7232000,-108.5471473000721261,-111.6459424476273341,-111.7565080277103675
7296000,-174.7158392470338697,-171.3350140332221372,-173.9287067437051348
7360000,-148.1090983733756445,-154.8183577843414014,-145.5922788864980930
7424000,-105.1844373972052580,-105.9964172944522574,-104.4756253918460374
7488000,-107.2671653945178605,-102.2427845829390662,-99.5990945307965632
7552000,-92.3499156459335495,-94.1128880276957744,-92.7639931613206983
7616000,-69.2248053686873988,-69.3345191867266522,-74.4442909937347679
7680000,-52.2956823856269608,-56.4201384652112097,-50.1947499828435113
7744000,-31.1617613020109872,-39.8764559336031610,-36.3887969826622850
7808000,-35.9347251350521688,-40.8287902342369335,-36.6987623689077651
7872000,-52.2346671649189815,-49.0024645159173673,-54.1183353705889729
7936000,-56.5630226863207568,-56.5599309107694737,-58.7832500052939224
8000000,-40.1073019348112538,-41.8372099462396889,-40.3850003350870423
8064000,-24.6131643307369359,-30.8177270694211956,-29.9705939773950085
8128000,-22.2834986962546502,-21.2929548138221385,-28.1308735684726088
8192000,3.9239902701494627,0.7876643713968701,0.4688965955600226
8256000,7.3746120886228770,4.4598292437061211,3.7919566127146740
8320000,-24.6084835569812341,-27.3476220991226597,-29.3642564220004765
8384000,-30.2094481223705635,-25.4604842062195615,-24.6870090924695234
8448000,-9.7582606523912716,-10.6288828679115515,-17.1801331610974373
8512000,-16.2285303252936508,-14.0784264969151103,-21.7579926320566805
8576000,7.0063432778704726,6.8841854313670758,6.4732084719036802
8640000,10.4316710427786905,2.6487825508496035,1.9286784729313986
8704000,22.1473456603866197,19.4199276293600676,13.3569960209881309
8768000,29.6594774293269090,30.1357818075021058,31.0564081972573049
8832000,6.6879594464662855,0.4708449626430031,2.7636694912440429
8896000,25.0572468102494277,18.7060173157454841,22.8267141458186842
8960000,30.6141504331143537,31.6420339119365828,30.3541134910219839
9024000,32.5960133351181867,28.1692019090566035,33.4194584458242261
9088000,16.8316228908573962,24.2845827343232301,19.2580303300043525
9152000,33.5187373551466976,35.8250341244474626,39.1526399924630368
9216000,45.3432142162939726,45.1300960178088957,48.5402709573920603
9280000,31.7607578310430867,39.6326393727325623,39.0077084460697989
9344000,26.0280994107323735,26.3282401136089277,24.6692916630521246
9408000,40.5759333052578626,34.0947468549056012,31.8649579775529439
9472000,34.6040674396959957,40.4130609227199002,40.2198467094472107
9536000,28.2821346241521994,36.3645066929473160,37.8651390428098438
9600000,36.6152226302033270,40.3946100785997544,39.3075929423727786
9664000,30.7738990605559763,34.5647810565539544,30.0893145337471175
9728000,18.0871761432606419,27.1314949506122041,18.1854120675251494
9792000,38.6866250667014953,36.6514030032107243,38.5024014756103767
9856000,41.0341997529245077,43.5464560028837795,46.0246067368620331
9920000,42.1217568805935940,47.4509493718069209,39.9894005417375453
9984000,42.5290896571573072,43.0387022919582662,39.1805662054633856
10048000,42.8299657934312634,48.7183731500000334,49.4193707078138473
10112000,61.2359301134549625,52.9590649538739626,52.2163281546918512
10176000,53.5477434215388044,53.9963652929974316,51.3651922972339037
10240000,50.2525284865367539,53.5781893707603842,52.1468432997865321
10304000,49.8771172527075919,44.4933033099229291,52.5254959733741060
10368000,59.2407513728275816,56.6081476961339050,57.6285529936765215
10432000,63.2275384305018306,62.1673958654960188,58.4148995143153158
10496000,52.8976059986353988,52.9269388705652588,50.1681742853284476
10560000,47.9389140469573647,54.8891212262420254,51.6397593621659823
10624000,50.4027641843608194,52.5544745915705747,53.4940722371367983
10688000,61.2482586804983811,59.8255408129974313,59.7529480438380673
10752000,59.0824507376112464,67.3236122618611432,61.0880309329945277
10816000,57.5841124345169462,55.4363034687688554,58.5553457741647776
10880000,54.0025859040765113,60.4581850799323988,61.3620102944730519
10944000,54.1855987677428388,61.3658487357644091,62.4703531213501364
11008000,48.6914358742902564,47.3656401642107312,53.1228048821311702
11072000,64.4744231722413303,62.7223039031176697,64.0432200901021957
11136000,60.0868451232434140,60.9707730078897114,62.4185269247217676
11200000,59.6874481192985797,62.8678342178557088,58.5100684936334261
11264000,66.2022977979458318,59.7122087914673116,66.9592920656695867
11328000,71.5748450178758588,63.9696407183677138,63.2820063322715427
11392000,68.7083217221599938,63.6399101649222416,67.8030087103011709
11456000,68.3893206673814120,70.0269752453218501,76.2934745208076350
11520000,84.2982280460605011,81.7619388042343900,84.4081906405666302
11584000,73.3191100243932112,73.0738213926670994,68.3901056903401923
11648000,66.4719658960174939,65.9140375243841703,68.8497957739216702
11712000,73.1530026246399245,74.2158350086889556,69.3190101030983072
11776000,73.7659392410920134,74.6246952146391607,72.4320914341633113
11840000,67.8178154219552169,72.5932938902847127,69.4352393010471332
11904000,73.3165741274212905,76.2208192168794909,70.6812350187720000
11968000,68.6340690610453947,75.8696245345892351,71.1423111254555067
12032000,77.6134501172386138,68.4598336570841468,77.8581991773651509
12096000,74.7493572264987307,76.7888194308217606,82.5403346996734655
12160000,74.5044303485814083,75.5902675220703202,75.8380246639225675
12224000,75.0084598600058996,74.3495707527014673,65.5891409007781760
12288000,75.0735153673770554,75.4053481156663992,81.3989047125074308
12352000,76.4129281830450680,71.5249239522896119,78.5939563787882634
12416000,75.8466161581490184,70.7300691081165809,76.0886959266219947
12480000,71.7377386657370977,73.7639890315452362,72.0536911513890459
12544000,69.7397938497333598,75.7780671585719006,68.8080824070350303
12608000,75.2982459701108979,75.9597152210860145,75.9592542965776829
12672000,77.2145829956085805,71.1334661255377512,78.2114799816322375
12736000,77.5764961468096743,75.9141596544812813,78.3811566980986782
12800000,71.8634798143005753,63.8143880416874225,63.7699793090520046
12864000,78.6185453508193319,78.3975336988651890,69.6730270714572981
12928000,73.6321079123058979,70.3801925523687828,66.9380108634824893
12992000,73.7121739087611161,78.1962079950773159,79.0515567619850543
13056000,76.8220981084514278,78.4067617588372627,77.8927604421765523
13120000,75.3278256710971732,69.4833537948864972,74.5399892572483083
13184000,70.2823062655009210,72.3074980009232746,71.4267798762379726
13248000,76.5610086828055216,75.0596158387010206,68.9175082507319132
13312000,75.5083671955518980,74.0052335180509857,67.3458201571260133
13376000,76.3664530528260030,76.8049414251802887,68.9236336996198133
13440000,69.6487215777076045,70.2457744549042786,70.9621359303687882
13504000,73.1855270366563246,75.4318044755804493,65.5682122744066049
13568000,74.9836781494276181,66.6158887598575546,75.5648594750445710
13632000,71.1644223116501138,70.7862002389107090,78.7890036012699966
13696000,73.1997221392466884,80.4317151162445185,81.6620249266585319
13760000,72.3493466787072350,74.5992537333466004,80.0826071034551177
13824000,76.6204980646844547,84.9982483544004452,76.7517430058404528
13888000,86.5059304361555519,85.6177238842520296,77.0924341620580265
13952000,78.1964922395276858,79.3907287241791266,72.5010516009277808
14016000,86.1824440853172291,78.9101456690368650,87.0120251286766404
14080000,82.9007972463993354,82.4706545779104232,77.8015471835862940
14144000,83.1677982262825566,78.0895917788773772,83.7981315696566185
14208000,74.5633560817081218,73.5708974578665504,78.0210367738536092
14272000,79.1459093808376508,80.3564418404733800,72.3822898794538503
14336000,85.1313597972823715,85.3668137930762043,77.3611276844535638
14400000,84.6905174949375237,80.2455723122402702,78.8556789238832465
14464000,83.1425152107161978,83.9010153307154098,81.6343562974045653
14528000,77.8298774082326474,82.0823564338548977,75.2930454971962320
14592000,86.4766592351542158,85.7512471610617268,85.8916465525934996
14656000,79.6263589481164189,88.8742333793692438,82.4019226492291352
14720000,84.1361959295677764,84.7652411242881243,84.4351451377948479
14784000,85.8536110807941384,86.0305421276764548,84.6101797100898949
14848000,81.7011964874892413,86.8929142190755215,87.4531514559408265
14912000,82.1393928102814641,82.2440710846799590,82.8359474448547530
14976000,78.0494315784328592,83.7585706093927200,78.7159949270823347
15040000,82.7418233430649082,86.1092046744040545,83.5050822530364201
15104000,78.1521016089058662,85.1612027418237858,84.5235714945623471
15168000,78.1516899705750916,76.0534665506776122,75.4436489005757380
15232000,87.4147158341155830,80.1321233742426671,82.3673712079342124
15296000,85.6033325997344008,88.2142245891493957,81.7059693336435373
15360000,85.7026963300480560,86.4716540985141364,79.5645380188839653
15424000,83.6232421586375523,82.2686620725113613,86.6345432830053852
15488000,85.5071337743031137,84.8610384502869266,81.6392210169478432
15552000,79.2353165310744458,80.3303628959042015,86.5808769059539429
15616000,83.1779073306416450,89.4853784304014823,80.9133265517623244
15680000,82.0213698446350890,88.4532044453943769,88.5332607697792611
15744000,90.3160325072730501,90.2545118950072265,84.9241743351419416
15808000,84.8150949262501825,85.3916728219108450,85.4010580631579757
15872000,88.9083890538884134,87.8218664895493930,82.9128317931261734
15936000,81.1379499032043157,81.4182570463490265,83.4220133302365809
16000000,81.0952264004887127,86.3955653443314162,79.1050234328421169
16064000,84.5106648896272361,79.7472019424155718,78.4670757673402761
16128000,79.5724046448812601,84.4372878376001665,83.2715535418923878
16192000,76.7097029777601875,78.4165144163170993,78.9070621349210199
16256000,79.7525359330049071,80.3814785366704285,88.6144302767225014
16320000,78.7724663788217754,84.4673711521108146,77.6147630218040092
16384000,84.3361880883906281,77.7031606007110014,79.2349917264000538
16448000,83.1188167133194042,88.7439518730350443,82.3919926891976218
16512000,80.6682717723949025,80.3167073162198193,83.5577031382986490
16576000,84.4553768989028555,85.1841216354038124,91.8690477275867039
16640000,86.8299214590987418,81.3223610971173372,89.6136165021845414
16704000,84.4519889702866777,83.6989575514076733,78.3215774254208554
16768000,85.9774161014223637,83.6617529038627907,85.3644511285957606
16832000,86.8256888644955467,81.9119934108254739,82.2323565236947474
16896000,86.3148345674110260,85.2734774003168781,79.7289005502988459
16960000,77.7939465653982580,77.5774974570522460,78.3303691803044302
17024000,80.2297041714981845,80.9840876470558158,81.7099264631159770
17088000,79.2990090673892070,86.2006796188808977,79.5877324578523826
17152000,86.0149854265020366,86.4601118121390897,86.4675282013036934
17216000,89.9505455911744320,90.3543402014545904,90.1202404597545552
17280000,81.7276777757569732,87.1540970736350147,81.0173381893759910
17344000,79.3326911731357143,83.4440474074735903,85.3184942940890494
17408000,82.1285970171796436,80.4485310204258468,81.1088270650080148
17472000,83.3316802635033156,90.7344977511712187,88.2797972663563684
17536000,88.0574688448574676,83.3728341214628301,86.1225066423244527
17600000,90.3175867204351306,83.9094398134778459,87.0782681166788848
17664000,91.6368122128135099,84.3725767972215976,88.1567128662509703
17728000,83.9107265954184243,89.8679484007494267,84.8858690144199386
17792000,87.4088242289277133,81.3891860873688984,87.9861796230452029
17856000,89.7192585984006428,81.7940375173859309,81.6721879440023031
17920000,86.8052621095376935,88.3899148458239097,82.7630328382458345
17984000,89.5794143504711542,91.8251541361111521,84.1260568038907763
18048000,80.9870494027867238,86.6807256339416625,81.8595529498113734
18112000,84.5611468265428954,76.9499816609484810,75.5418870050740736
18176000,82.2259355183730634,83.1183205910244567,77.0360233386420532
18240000,75.3420094265273974,80.1011998263129783,73.1010771529776093
18304000,81.9768131429084264,75.5778430940738133,76.8761645716306674
18368000,48.2794250873651123,42.3415459632015754,47.7807998858502501
18432000,58.6923915202797346,58.3780299516243346,59.2602686175876769
18496000,78.8144797386965195,83.8918408818051233,79.2458342091185841
18560000,78.2189171754682206,77.7977025040959091,80.0625795248029277
18624000,78.7955860973986262,87.0906693323327374,88.2387400350985303
18688000,83.0899014513936862,84.8268910614745977,89.7051483767453561
18752000,77.4452606838406297,82.7012004420237901,74.6661499470557857
18816000,70.4102062442021435,75.7465497120478375,72.3676103890961429
18880000,82.3946574371416318,82.4190752704225247,80.4335335304416503
18944000,53.5122351625066202,51.8530215685787610,51.1524531680016565
19008000,63.1960416091344612,59.4239343557340405,65.3944605565375809
19072000,74.5096679344252664,75.0757542450299553,73.8936200788518533
19136000,72.7654896437786078,66.3566046480346472,72.7779616268142036
19200000,35.1293194823146919,29.6526072390284199,35.1614636385991091
19264000,62.5066420984702376,60.6434297666722699,61.1550621899051450
19328000,57.1044483429278316,66.0651374418284973,64.4747487139487276
19392000,62.4273789770958771,62.1542791173664568,61.9557339704223935
19456000,86.4546666392015055,89.5494572034131266,81.0360724807482313
19520000,80.6588096327183024,81.0804144413985313,87.7950201468440099
19584000,83.3519729445612398,80.5197913162840848,81.4467310983549169
19648000,85.9410179361084943,84.5001091103031712,83.8880941546756276
19712000,67.4507990078394357,67.0757859520044804,60.5654123435189291
19776000,67.7196024686557507,65.8257335057967907,65.0141965874242658
19840000,52.1285711387530029,59.9308147004022800,58.3522006169583420
19904000,77.8360134498190064,80.5868081135969589,81.5209780687291214
19968000,31.3524064565934140,37.0034145649331379,32.2590939923151652
20032000,-10.1191410640388497,-10.9180280707784032,-7.8380370392911196
