Step,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX
3392000,-1778.3604765768236575,-1752.7751960302491625,-1751.3792953000827310
3456000,-1734.5831657323826676,-1763.5885697542812522,-1764.9791153025714721
3520000,-1626.0362647413433024,-1624.8243181083503259,-1597.1365720431040245
3584000,-1484.9792875990419816,-1514.9071002392483933,-1515.5837818861341475
3648000,-1474.5658125866125374,-1455.3574613687521833,-1455.1009470374378907
3712000,-1359.1954847122815409,-1359.7003592399769332,-1384.5564185619366526
3776000,-1250.8139323986449654,-1249.8488609799167079,-1250.0051940595544693
3840000,-1189.5174809101019946,-1160.3744959616039978,-1192.0519176738832812
3904000,-1236.8296208851884330,-1236.9199299707172486,-1211.8070268761050556
3968000,-1201.4825863738276439,-1230.1872500060362654,-1202.5964462205236032
4032000,-1034.4337067213652972,-1010.4600064803647683,-1040.0215955535161356
4096000,-949.1698747714906403,-918.3059419518391451,-924.0805409903028931
4160000,-896.4100056668667094,-897.4973574500648965,-896.3141263298844024
4224000,-882.6152461886719038,-879.2549035266431474,-884.8653698303289730
4288000,-876.7526911745994767,-875.9948715054746344,-873.6812335460460872
4352000,-824.2171160194731101,-847.9073148510450437,-847.6205546435697897
4416000,-824.4086299952286936,-853.9840561055302715,-824.5252347716484564
4480000,-856.2926926522662825,-859.0339708151344666,-833.0071772642044152
4544000,-729.0402929626690138,-731.8787831434232203,-697.2751246671127774
4608000,-687.3769091099510433,-662.3963010142371104,-691.5027652533449327
4672000,-666.0681441152979687,-668.6614655624383659,-648.6911784406462402
4736000,-605.3531597825474364,-633.5919642936063383,-632.3050472955891337
4800000,-620.7804391370073063,-586.6497333006541339,-618.5264840900674699
4864000,-591.7027373588905448,-562.5069166078571925,-562.7539923643074644
4928000,-571.9467050150649357,-572.3351555929567667,-544.5763297419632636
4992000,-603.6217467084870805,-603.6184878959138587,-603.0456348078220117
5056000,-639.1401696717108507,-614.1792972871045322,-614.9557279305125803
5120000,-557.8368824465713942,-556.7948351313202693,-581.7079792847943054
5184000,-561.3999695275387012,-534.2219355847951192,-535.1576411929193000
5248000,-527.1065817266793374,-525.5918917849544414,-551.0122787922166481
5312000,-490.1440839551117961,-490.1423698868970291,-517.5976793893067907
5376000,-503.6780363716669626,-479.0845521835433374,-503.4319216003343627
5440000,-496.0526381246263554,-469.7419807797735416,-466.1548160332519046
5504000,-494.2308760474434166,-472.2894907168801524,-495.4103591799448054
5568000,-504.6609073889704291,-532.8919031801174242,-532.3966958557924727
5632000,-520.6946698346822586,-547.7276325081340929,-547.7283099250189480
5696000,-517.2316069104059579,-511.3156226893022449,-486.8958765027049367
5760000,-493.4059816538683663,-492.2190639378414403,-516.7773531335492407
5824000,-466.0378228727134911,-438.2432903038564973,-439.7444067397031517
5888000,-398.5095365427989123,-398.2042616994218633,-398.1137008162399979
5952000,-448.4616960662057750,-479.0752886403761863,-479.4002454424451116
6016000,-391.0254361323403600,-367.4931862468475288,-367.1235877705677808
6080000,-355.4572171919438119,-329.6646874257463651,-355.3902288295229823
6144000,-320.9382375425317377,-318.7806751047112925,-343.5195497181332485
6208000,-349.3686392869750534,-374.4489894284466800,-350.2588725694567984
6272000,-369.2376306826811287,-343.4411570890185317,-370.8550696959887887
6336000,-381.9635581270123339,-379.5286852822673040,-380.6515763920082804
6400000,-431.8858558173422466,-430.2499589745921185,-429.3826777824589271
6464000,-383.0037412737774503,-355.7513706753925931,-356.5130713201503454
6528000,-405.3449462570546871,-405.1022272690101431,-404.9206914321923136
6592000,-366.7676423000638124,-366.2366389457869786,-366.9277640379730769
6656000,-351.0297368437478553,-325.7591458684418058,-326.5110188596139551
6720000,-270.1351473351415393,-272.4596173748017236,-294.8612655397317894
6784000,-270.2785184055991863,-269.4145979366493862,-245.1434603264499401
6848000,-286.8783660160446516,-268.6338057192557471,-287.2407638094069284
6912000,-243.9765245882300633,-221.5334577825991573,-241.0454780612943750
6976000,-203.5813636105507953,-227.9640177001698191,-204.0352887092361982
7040000,-222.0837281703857400,-248.4615169165351460,-221.9221664219363106
7104000,-202.1993998667630592,-174.1545652179285639,-174.7727314840445558
7168000,-140.4135720342611648,-140.5709667574785158,-167.8406720366732259
7232000,-110.5383454213692005,-133.9336189942863484,-109.7074883532019811
7296000,-128.5817141799305148,-128.8770105463136701,-151.7854827009658152
7360000,-138.9423824692290736,-138.6674144084250884,-116.7358883051025344
7424000,-154.6999214665320892,-154.3810895710853686,-154.2272035163499311
7488000,-124.6716396365204815,-153.0308679425353375,-130.1957132108804274
7552000,-155.9649552665634076,-156.9819316617960681,-156.5138266997981020
7616000,-121.7649507080805051,-147.4339607545816477,-121.7742086729988529
7680000,-109.6814341289705368,-109.4945075277909154,-109.5813697092953021
7744000,-196.9301657923788298,-167.9996940429510630,-196.2762399292992939
7808000,-168.5775064183755774,-142.1908147070572284,-173.9588896334089441
7872000,-117.7487557249752115,-119.6235286188394582,-117.2421417964987569
7936000,-91.5023757873842385,-64.8609097287293963,-68.2278656483936743
8000000,-137.3191577674968471,-137.3389289959147845,-137.2653014093608306
8064000,-90.5057238158066468,-90.5653940944538647,-72.3257407126996270
8128000,-68.6605771036787758,-89.8191337909632352,-91.0579439212029342
8192000,-83.1792344284475575,-82.2920359613406021,-85.3339755661023958
8256000,-46.7160542676829067,-46.8334536710256373,-69.8142131733318791
8320000,-51.3904153200579543,-48.9170356426113244,-46.0511329702969192
8384000,-36.3522536963474252,-34.0200099674687664,-33.9010135530903511
8448000,-25.6552914961482834,-26.1448364146483030,-26.1684568682530561
8512000,-32.8777749188432011,-6.7890699351809154,-6.6753566290729847
8576000,-15.1731984168806324,-14.0436860100423786,4.9583544316797727
8640000,-2.8278192166680327,-24.1094554288873759,-2.5106572842535542
8704000,-33.9731081403585691,-4.4855928386608603,-32.7167239956691063
8768000,-11.4663989553311012,12.6460868620912006,-11.0749804795741706
8832000,7.4662522624454883,-15.7802123412851607,-16.0938709898343575
8896000,-3.4760953564949268,27.5941702071811150,28.6905736709739010
8960000,39.0108148792772838,39.4075879948317649,35.1229967009390194
9024000,12.2988202380542759,16.2381803975991268,14.9511894410597677
9088000,29.8352638458408208,31.5657741347121394,31.6139817868837874
9152000,40.2144193662266218,67.4373717764619869,64.2702463254853456
9216000,2.1261861373982249,23.6701977013089646,25.2028212433078700
9280000,31.2203424881058176,52.4995194735508193,31.2828541989548974
9344000,52.6580156133652793,54.2403177589373087,52.1500807855697843
9408000,90.8758410930238512,90.8653789703420642,60.5549128205532838
9472000,54.5929145578849813,53.5414098758405999,50.9464506756751803
9536000,83.5272873015029802,86.6106978421951936,61.6008383388377041
9600000,89.0836279181268083,88.5561929597479605,92.3238497444518345
9664000,78.8821949019863382,112.5279467791949628,82.4740884712475832
9728000,84.4467063991390035,110.4417746407959413,111.6364552807818882
9792000,90.2591382046595498,87.3030693302217742,110.7570035122376879
9856000,92.2152907807776359,94.2227427886475368,119.4528254069812760
9920000,102.6885621089581377,109.6757647441407073,102.6787735531969474
9984000,73.3536806575968683,104.1663531392837569,73.6276604983970913
10048000,101.5163981136174414,102.2547033975484254,75.1175319875944041
10112000,100.4799869135197810,101.7896141922993110,122.6540671308071495
10176000,124.2861678173219815,124.5813331483412298,94.1976406908662227
10240000,132.9983309291761202,112.4491846837555897,111.1977610906371439
10304000,105.5585130721681963,106.1452298481971184,107.0076923897812122
10368000,116.1202561406287970,133.6694520371893873,137.9564078526530011
10432000,113.9043578565519681,137.5106872485790745,136.3134862890887575
10496000,133.8317731642625290,133.8311920483301947,108.7681362099414315
10560000,125.3117447513669731,127.1252678053392628,94.7144587932306905
10624000,111.9151120085433035,115.1997905869140482,116.6727429446447530
10688000,143.8361445819959954,145.2241148321847959,119.7169839568927188
10752000,129.8299550305451646,130.5522468010813100,134.9012817533865416
10816000,143.9182424114071921,116.9406160368838385,144.0977612850444416
10880000,131.3523164607185265,102.5731192848640063,102.7164687715614662
10944000,98.0151053783328621,125.3897889744680327,97.9686241811783134
11008000,149.4394437969889111,122.4453397914608814,122.1367284310400976
11072000,129.9411616851186011,110.7524030651626390,130.9522708518004492
11136000,145.7450526193919416,145.1361693265306485,127.9534439015297806
11200000,165.4918951579574014,141.1321858264966806,165.2535468304796780
11264000,152.6230270264922240,151.5319465028154013,132.7548660574351800
11328000,169.9253899357719035,145.0828414219964486,144.3705226308432543
11392000,142.9995791059861006,147.8604962827822646,148.2547005532302080
11456000,178.0467955274838232,172.5919840399445775,175.7923894876255702
11520000,149.9027206737024471,172.3775254379065416,148.6006811864149029
11584000,166.8204528204122141,142.4366100145626035,141.7557660220927858
11648000,145.1493232410407757,140.6641781582893884,142.5728343922899910
11712000,181.6649758278056197,147.9039574306256384,180.7576181443441783
11776000,155.0806691382014151,154.6878912311605916,183.5718193854583546
11840000,171.4988106893503641,171.6948916118587931,171.3412041369182077
11904000,186.1032402609548910,155.9683168280280938,157.1495016366611424
11968000,149.2651291525440911,149.0657416488797367,179.6976164087741665
12032000,184.9617924764612837,162.8426760807384994,162.1421146235610991
12096000,161.7868800884458835,187.5379953647955347,188.6703318164131815
12160000,163.6810165967550859,165.0780335913365491,161.8728490961163402
12224000,189.4586493478832949,157.1647066301129314,157.9410259370960716
12288000,188.3222505426542739,188.5887204186707038,161.8052724142202123
12352000,182.7708281537260291,157.7462197380021962,182.0637723764600935
12416000,141.3959953312837854,174.1994414805045324,176.7753592754097554
12480000,151.9383094298486299,172.9139780200126495,152.0488906449968738
12544000,181.3840799446919050,178.8059335958716360,181.3630022706818465
12608000,167.9437403345850441,145.8115183163492929,144.6454643091235255
12672000,159.8271039952682315,160.9314312259335225,160.4681486395134016
12736000,125.7521691577097016,125.1447362765852773,123.1025395675063265
12800000,159.3945935499565962,134.0142498005302514,132.5476951796223375
12864000,127.7557419683954549,126.3768095593326564,155.5846256450694227
12928000,138.6249783878998869,117.9248107188895318,119.4993646565415162
12992000,113.4551676465097501,138.5685193416386198,144.7132976273103964
13056000,139.2287759408472709,116.7404221213454178,138.8401088552134581
13120000,120.0455684485769723,139.0989963476132516,120.0377143707809324
13184000,140.0925706063468965,136.4982118481518683,113.5391768160973101
13248000,137.1725505519203523,139.0095896397108959,106.8757383897092978
13312000,136.7234283338981413,115.7011283244358424,136.3884278630481788
13376000,139.0910518662061293,139.5447850409494777,117.6631297777117311
13440000,132.7016045186742303,135.2082593134642536,110.7698860379969119
13504000,116.4196345678187328,137.8884184941275635,138.5182490356204426
13568000,108.7429503372115676,131.5369905987197399,131.5876139821224911
13632000,112.0893746835315881,112.1124166321821036,136.5615821411965385
13696000,136.8503115842571844,137.0088830345191298,117.5057610378195108
13760000,113.0757811110497357,146.1765639802711689,145.0187782092960163
13824000,136.7725122704800924,106.1356101670006353,110.8686167083886431
13888000,108.6633600594972364,137.5307071059371822,136.8578435204911159
13952000,137.4817064492793861,135.0194691092088419,135.8020672129376294
14016000,111.7573480268057722,135.8535273862182748,135.9327499926060625
14080000,115.0983153642752228,117.8894279567614234,115.2697930733128544
14144000,115.7534583580771113,115.5535949668422973,137.7427758521716044
14208000,113.1087535336700256,113.1041699851644751,133.5594454661779764
14272000,101.2863502209393118,101.1274539242949828,122.5602533144315771
14336000,107.5734563031868021,135.1266226774452548,107.2978094769484159
14400000,106.8903048640457882,106.8713379590991082,133.2477307308039656
14464000,107.4970461823644428,105.3420591865887559,104.9840270815774090
14528000,134.7956843822717587,116.4657685041642026,115.7043717668639147
14592000,106.5196208502249675,129.0320734884089404,127.0233975217475830
14656000,139.2395304038774668,104.7771030557610032,134.3863999703848719
14720000,142.6981987691164022,109.3874213531519786,109.3081179044979194
14784000,119.6983737819284670,115.1493226368111777,147.2736437273558749
14848000,116.9412473427151724,142.9035936612832245,115.7212111645129511
14912000,138.0227156137216582,137.3511112005625421,138.6380741850920799
14976000,113.8373284512755959,113.9161054078448103,130.4939534925908902
15040000,120.3780302815767129,121.1032176690711424,121.1988687574823160
15104000,90.6927463778545757,94.0917508961118045,116.4520481587512961
15168000,125.9743060411627908,129.6001841873310241,127.5348197537110764
15232000,129.5932143790637383,131.8094392586254457,131.4834003950352042
15296000,108.9779464340302582,131.4459285691560240,108.5916892263848581
15360000,107.6383230278335787,109.3731817725562649,135.4949453265502939
15424000,99.8094093999749674,130.0420748829716615,102.4133619197352232
15488000,105.3916999478311851,104.8111684479838601,124.4235109121216851
15552000,103.9106611090111869,131.9284508914732044,131.9545756787322262
15616000,101.8151945991190530,103.1871173284418148,126.3690326042320748
15680000,96.8730643373037310,125.5337806580061084,97.1912289540598806
15744000,95.5081924177829933,98.0656239647200323,94.1060838915229709
15808000,129.6543465726584827,101.3356949752251381,104.5642336881970778
15872000,129.4909310422784188,107.2987497662807215,106.6698572681394239
15936000,118.8671089554167111,117.7416119901246532,118.7581732853756193
16000000,124.0417396841161235,125.9108233738162852,152.2066341802855334
16064000,130.3746570323581864,131.2159191109005008,131.4200360442713418
16128000,125.0919980563739813,122.8555859842750806,123.7502993606222219
16192000,129.9529763460571132,155.9063191003558302,155.5509118845095031
16256000,149.0630530111225482,150.4139068766943410,127.5502465435922659
16320000,145.0914559192522120,124.3269784118193684,124.1238163108321118
16384000,146.4596214891109014,148.7342293667000774,148.5204959975937697
16448000,122.7306476633052057,123.0071752993934240,121.8485984139872329
16512000,155.0889855135305879,154.8293634358125530,126.4312859744381257
16576000,125.3079441764761128,126.0624875839009462,124.1410627601372738
16640000,120.7382345039724783,141.9404695282947841,141.8971994399270784
16704000,118.6362369820989215,118.1018451603012096,141.7211693707179165
16768000,136.3056646882897383,136.3225409019159997,136.7160307816898808
16832000,147.0178659624677380,121.4773850834185538,146.8155258677787174
16896000,150.0199833419720505,151.5526149569745371,149.6489651629572677
16960000,120.1465462855031774,145.8944569292247593,116.4566112990399205
17024000,122.4237906471823010,122.5726261694239412,140.4952524772299682
17088000,114.7901478308077827,113.9094861703576385,147.4543588638127005
17152000,146.3608153678757446,147.2957551558002081,144.4685262824543202
17216000,153.4896035591401073,122.2794792492851741,123.0602605413377972
17280000,127.3491601346100595,130.4737471606438248,127.5489105082020700
17344000,129.0071392495995610,130.4480486353804451,151.3683010623064149
17408000,131.5069538355745635,131.7647178450199590,154.1377192139670171
17472000,158.9451311609610116,154.6067599275217788,156.4044979588597073
17536000,132.1619657394144269,153.5798252747225945,153.5629284822223042
17600000,128.8952601014913739,156.4937238416698904,156.6712058586628586
17664000,156.5695705810196330,157.1714983709860292,159.1993471454157429
17728000,135.1354881723210610,153.1422826449562535,135.2855741342026761
17792000,130.9787139674603509,134.2132375579932670,130.2371258523602080
17856000,156.6601513459786190,156.7176135286177896,131.7569829890455821
17920000,153.4215333737579101,153.7060449729452500,126.7198724530262552
17984000,128.3203754714444358,155.5906154545823483,153.7358590757335719
18048000,162.4809564545287515,128.1802380328072672,129.4221820037277269
18112000,123.9607364850317879,154.2484887892909455,125.6478180829517299
18176000,117.3683805849337318,146.1899762838739321,145.7092955219722228
18240000,158.0098026527748232,124.7884391347736113,129.1468418189082001
18304000,131.0067031815016776,157.4271571289581573,127.7340900641958115
18368000,149.9441707887178268,149.9797649758951934,149.9175119255200741
18432000,140.0073317729851112,114.1679486468264741,113.3412705159140330
18496000,147.7292455909984596,143.9704346666896981,142.5842787592663399
18560000,118.1805865260543840,140.9175422022760529,141.1406419586551237
18624000,147.3796460091056701,120.1206817453089570,148.1801883161349167
18688000,116.6464592676004486,140.3225066804446044,139.3606965960174762
18752000,142.4937920846522843,142.5017016169794601,142.5470932759979235
18816000,120.6496378314831901,117.1263216421459816,146.5221907352766380
18880000,146.3432384012735952,146.5218185935317479,146.6387466635833903
18944000,142.6061016896849480,138.5376842901568750,110.3352118901456151
19008000,123.1430896341517212,147.0243492518051767,123.6212356408504718
19072000,138.8217616491283479,138.9641242209578706,118.0678673479901875
19136000,110.9006212543712877,112.7824593602537675,107.0886826919845731
19200000,109.9558263602577028,131.3535697115935648,131.7559460378873268
19264000,107.5218971558559531,106.8979646505329981,107.4942243446085968
19328000,132.0367879875337564,108.1069969352423072,132.6269560563880816
19392000,134.1881268169801160,135.9654697044828140,133.8821442578404231
19456000,107.8250432710727864,136.1482629296921516,107.4282669275152102
19520000,140.3876871668882416,120.5544277055711859,140.0528509275706881
19584000,143.0074000591673382,144.1245865297151170,113.8200383250917582
19648000,141.5563212494623713,112.9231155269917224,115.3683551493849961
19712000,108.2608722169216264,133.2557240590041943,108.8455639212328379
19776000,102.0545314209620358,127.7126988997226817,128.8561772805429655
19840000,132.0314720890007720,101.9986204335642412,104.4593964605800380
19904000,126.3207564331958253,127.7646999462491664,104.9338147118160833
19968000,107.0901803201108748,106.0893963746363227,133.5980040670943083
20032000,125.9090389510547539,126.6077365994174073,129.3267961692023675
